 schemaname |            tablename             |               indexname                |                                                                              indexdef                                                                              
 public     | mdl_analytics_models_log         | mdl_analmodelog_mod_ix                 | CREATE INDEX mdl_analmodelog_mod_ix ON public.mdl_analytics_models_log USING btree (modelid)
 public     | mdl_analytics_models_log         | mdl_analmodelog_use_ix                 | CREATE INDEX mdl_analmodelog_use_ix ON public.mdl_analytics_models_log USING btree (usermodified)
 public     | mdl_analytics_predict_samples    | mdl_analpredsamp_id_pk                 | CREATE UNIQUE INDEX mdl_analpredsamp_id_pk ON public.mdl_analytics_predict_samples USING btree (id)
 public     | mdl_analytics_predict_samples    | mdl_analpredsamp_mod_ix                | CREATE INDEX mdl_analpredsamp_mod_ix ON public.mdl_analytics_predict_samples USING btree (modelid)
 public     | mdl_analytics_predict_samples    | mdl_analpredsamp_modanatimr_ix         | CREATE INDEX mdl_analpredsamp_modanatimr_ix ON public.mdl_analytics_predict_samples USING btree (modelid, analysableid, timesplitting, rangeindex)
 public     | mdl_analytics_prediction_actions | mdl_analpredacti_id_pk                 | CREATE UNIQUE INDEX mdl_analpredacti_id_pk ON public.mdl_analytics_prediction_actions USING btree (id)
 public     | mdl_analytics_prediction_actions | mdl_analpredacti_pre_ix                | CREATE INDEX mdl_analpredacti_pre_ix ON public.mdl_analytics_prediction_actions USING btree (predictionid)
 public     | mdl_analytics_prediction_actions | mdl_analpredacti_preuseact_ix          | CREATE INDEX mdl_analpredacti_preuseact_ix ON public.mdl_analytics_prediction_actions USING btree (predictionid, userid, actionname)
 public     | mdl_analytics_prediction_actions | mdl_analpredacti_use_ix                | CREATE INDEX mdl_analpredacti_use_ix ON public.mdl_analytics_prediction_actions USING btree (userid)
 public     | mdl_analytics_predictions        | mdl_analpred_con_ix                    | CREATE INDEX mdl_analpred_con_ix ON public.mdl_analytics_predictions USING btree (contextid)
 public     | mdl_analytics_predictions        | mdl_analpred_id_pk                     | CREATE UNIQUE INDEX mdl_analpred_id_pk ON public.mdl_analytics_predictions USING btree (id)
 public     | mdl_analytics_predictions        | mdl_analpred_mod_ix                    | CREATE INDEX mdl_analpred_mod_ix ON public.mdl_analytics_predictions USING btree (modelid)
 public     | mdl_analytics_predictions        | mdl_analpred_modcon_ix                 | CREATE INDEX mdl_analpred_modcon_ix ON public.mdl_analytics_predictions USING btree (modelid, contextid)
 public     | mdl_analytics_train_samples      | mdl_analtraisamp_id_pk                 | CREATE UNIQUE INDEX mdl_analtraisamp_id_pk ON public.mdl_analytics_train_samples USING btree (id)
 public     | mdl_analytics_train_samples      | mdl_analtraisamp_mod_ix                | CREATE INDEX mdl_analtraisamp_mod_ix ON public.mdl_analytics_train_samples USING btree (modelid)
 public     | mdl_analytics_train_samples      | mdl_analtraisamp_modanatim_ix          | CREATE INDEX mdl_analtraisamp_modanatim_ix ON public.mdl_analytics_train_samples USING btree (modelid, analysableid, timesplitting)
 public     | mdl_analytics_used_analysables   | mdl_analusedanal_ana_ix                | CREATE INDEX mdl_analusedanal_ana_ix ON public.mdl_analytics_used_analysables USING btree (analysableid)
 public     | mdl_analytics_used_analysables   | mdl_analusedanal_id_pk                 | CREATE UNIQUE INDEX mdl_analusedanal_id_pk ON public.mdl_analytics_used_analysables USING btree (id)
 public     | mdl_analytics_used_analysables   | mdl_analusedanal_mod_ix                | CREATE INDEX mdl_analusedanal_mod_ix ON public.mdl_analytics_used_analysables USING btree (modelid)
 public     | mdl_analytics_used_analysables   | mdl_analusedanal_modact_ix             | CREATE INDEX mdl_analusedanal_modact_ix ON public.mdl_analytics_used_analysables USING btree (modelid, action)
 public     | mdl_analytics_used_files         | mdl_analusedfile_fil_ix                | CREATE INDEX mdl_analusedfile_fil_ix ON public.mdl_analytics_used_files USING btree (fileid)
 public     | mdl_analytics_used_files         | mdl_analusedfile_id_pk                 | CREATE UNIQUE INDEX mdl_analusedfile_id_pk ON public.mdl_analytics_used_files USING btree (id)
 public     | mdl_analytics_used_files         | mdl_analusedfile_mod_ix                | CREATE INDEX mdl_analusedfile_mod_ix ON public.mdl_analytics_used_files USING btree (modelid)
 public     | mdl_analytics_used_files         | mdl_analusedfile_modactfil_ix          | CREATE INDEX mdl_analusedfile_modactfil_ix ON public.mdl_analytics_used_files USING btree (modelid, action, fileid)
